# creditos.dat - donde guarda cada juego su contador de creditos.
# Las lineas sin marca las comprobo buscar_creditos.sh ejecutando el juego:
# se le escriben creditos y se comprueba que el juego los gasta al pulsar START.
# Las marcadas (cheat) vienen de la coleccion de cheats de MAME y NO estan
# comprobadas: se leen solo si pasan la prueba de las monedas, y nunca se
# escribe en ellas. Varias direcciones con "+" son copias del mismo contador.
airco22b @:maincpu,program,e005b5   # (cheat)
aircomb @:maincpu,program,10012f   # (cheat)
aircombj @:maincpu,program,10012f   # (cheat)
airduel @:maincpu,program,d3efe   # (cheat)
airdueljm72 @:maincpu,program,a3efe   # (cheat)
airduelm72 @:maincpu,program,a3efe   # (cheat)
airduelu @:maincpu,program,d3efe   # (cheat)
airresc @:maincpu,program,c106   # (cheat)
airwolf @:maincpu,program,e001   # (cheat)
airwolfa @:maincpu,program,e001   # (cheat)
ajax @:maincpu,program,208c   # (cheat)
ajaxj @:maincpu,program,208c   # (cheat)
akamaru @:maincpu,program,ff8635   # (cheat)
akazukin @:maincpu,program,ff7f   # (cheat)
akiss @:maincpu,program,fee050a2   # (cheat)
akkanvdr @:maincpu,program,40ffcb   # (cheat)
aladmdb @:maincpu,program,e0ff88   # (cheat)
alchemst @:maincpu,program,2088a48   # (cheat)
alexkidd @:maincpu,program,fff000   # (cheat)
alexkidd1 @:maincpu,program,fff000   # (cheat)
alibaba @:maincpu,program,4e6e   # (cheat)
alibabab @:maincpu,program,4e6e   # (cheat)
alien3 @:mainpcb:maincpu,program,701f25   # (cheat)
alien3j @:mainpcb:maincpu,program,701f25   # (cheat)
alien3u @:mainpcb:maincpu,program,701f25   # (cheat)
aliencha @:maincpu,program,20c7bd   # (cheat)
alienchac @:maincpu,program,20c7b9   # (cheat)
alieninv @:maincpu,program,20eb   # (cheat)
alieninvp2 @:maincpu,program,20eb   # (cheat)
aliens @:maincpu,program,802   # (cheat)
aliens2 @:maincpu,program,802   # (cheat)
aliens3 @:maincpu,program,802   # (cheat)
aliens4 @:maincpu,program,802   # (cheat)
aliensa @:maincpu,program,802   # (cheat)
aliensec @:mcu,program,80   # (cheat)
aliensj @:maincpu,program,802   # (cheat)
aliensj2 @:maincpu,program,802   # (cheat)
aliensu @:maincpu,program,802   # (cheat)
aliensyn @:maincpu,program,ffc000   # (cheat)
aliensyn2 @:maincpu,program,ffc000   # (cheat)
aliensyn3 @:maincpu,program,ffc000   # (cheat)
aliensyn5 @:maincpu,program,ffc000   # (cheat)
aliensyn7 @:maincpu,program,ffc000   # (cheat)
aliensynj @:maincpu,program,ffc000   # (cheat)
aliensynjo @:maincpu,program,ffc000   # (cheat)
alinvade @:maincpu,program,a7   # (cheat)
alleymas @:master,program,e7e6   # (cheat)
alpha1v @:maincpu,program,e207   # (cheat)
alphamis @:maincpu,program,e774   # (cheat)
alphaxz @:maincpu,program,c238   # (cheat)
alpine @:maincpu,program,8099   # (cheat)
alpinea @:maincpu,program,8099   # (cheat)
altbeast @:maincpu,program,fff000   # (cheat)
altbeast2 @:maincpu,program,fff000   # (cheat)
altbeast4 @:maincpu,program,fff000   # (cheat)
altbeast5 @:maincpu,program,fff000   # (cheat)
altbeast5d @:maincpu,program,fff000   # (cheat)
altbeast6 @:maincpu,program,fff000   # (cheat)
altbeastbl @:maincpu,program,fff000   # (cheat)
altbeastbl2 @:maincpu,program,fff000   # (cheat)
altbeastj @:maincpu,program,fff000   # (cheat)
altbeastj1 @:maincpu,program,fff000   # (cheat)
altbeastj3 @:maincpu,program,fff000   # (cheat)
altbeastj3d @:maincpu,program,fff000   # (cheat)
ambush @:maincpu,program,804c   # (cheat)
ambushh @:maincpu,program,804c   # (cheat)
ambushj @:maincpu,program,804c   # (cheat)
ambushv @:maincpu,program,804c   # (cheat)
amidar @:maincpu,program,8002   # (cheat)
amidar1 @:maincpu,program,8002   # (cheat)
amidarb @:maincpu,program,8002   # (cheat)
amidarb2 @:maincpu,program,4002   # (cheat)
amidarc @:maincpu,program,8002   # (cheat)
amidaro @:maincpu,program,8002   # (cheat)
amidars @:maincpu,program,4002   # (cheat)
amidaru @:maincpu,program,8002   # (cheat)
amigo @:maincpu,program,8002   # (cheat)
amigo2 @:maincpu,program,8002   # (cheat)
amspdwy @:maincpu,program,e187   # (cheat)
amspdwya @:maincpu,program,e187   # (cheat)
androidp @:maincpu,program,87ee   # (cheat)
androidpo @:maincpu,program,87d8   # (cheat)
animechmp @:maincpu,program,15aa50   # (cheat)
anteater @:maincpu,program,80ee   # (cheat)
anteaterg @:maincpu,program,4ee   # (cheat)
anteatergg @:maincpu,program,40ee   # (cheat)
anteateruk @:maincpu,program,4ee   # (cheat)
aoh @:maincpu,program,28e73f   # (cheat)
apache3 @:maincpu,program,7d7a   # (cheat)
apache3a @:maincpu,program,7d7a   # (cheat)
apache3b @:maincpu,program,7d7a   # (cheat)
apb @:audiocpu,program,35   # (cheat)
apb1 @:audiocpu,program,35   # (cheat)
apb2 @:audiocpu,program,35   # (cheat)
apb3 @:audiocpu,program,35   # (cheat)
apb4 @:audiocpu,program,35   # (cheat)
apb5 @:audiocpu,program,35   # (cheat)
apb6 @:audiocpu,program,35   # (cheat)
apbf @:audiocpu,program,35   # (cheat)
apbg @:audiocpu,program,35   # (cheat)
appoooh @:maincpu,program,e027   # (cheat)
aquajack @:maincpu,program,100049   # (cheat)
aquajackj @:maincpu,program,100049   # (cheat)
aquajacku @:maincpu,program,100049   # (cheat)
aquarium @:maincpu,program,ff8bf7   # (cheat)
aquariumj @:maincpu,program,ff8bf7   # (cheat)
ar_dlta @:maincpu,program,5203   # (cheat)
ar_pm @:maincpu,program,5203   # (cheat)
ar_socc @:maincpu,program,5203   # (cheat)
arabian @:maincpu,program,d340   # (cheat)
arabiana @:maincpu,program,d340   # (cheat)
arabianm @:maincpu,program,40dc2b   # (cheat)
arabianmj @:maincpu,program,40dc2b   # (cheat)
arabianmu @:maincpu,program,40dc2b   # (cheat)
aracnis @:maincpu,program,41f5   # (cheat)
